Artist,Title
Macklemore & Ryan Lewis Featuring Ray Dalton ,Can’t Hold Us
Baauer ,Harlem Shake
P!nk Featuring Nate Ruess ,Just Give Me A Reason
Robin Thicke Featuring T.I. + Pharrell ,Blurred Lines
Lorde ,Royals
Robin Thicke Featuring T.I. + Pharrell ,Blurred Lines
Katy Perry ,Roar
Justin Timberlake ,Mirrors
Daft Punk Featuring Pharrell Williams ,Get Lucky
Miley Cyrus,We Can’t Stop
Miley Cyrus,Wrecking Ball
will.i.am &BritneySpears ,Scream & Shout
Justin Timberlake Featuring Jay Z ,Suit & Tie
Rihanna Featuring Mikky Ekko ,Stay
Eminem ,Berzerk
Eminem Featuring Rihanna ,The Monster
Drake Featuring MajidJordan,"Hold On, We’re Going Home"
Florida Georgia Line Featuring Nelly ,Cruise
Bruno Mars,Treasure
Avicii ,Wake Me Up!
Jay Z Featuring Justin Timberlake ,Holy Grail
Drake ,Started From The Bottom
Anna Kendrick ,Cups (Pitch Perfect’s When I’m Gone)
Selena Gomez ,Come & Get It
Lady Gaga ,Applause
One Direction ,Story Of My Life
Imagine Dragons ,Demons
Pitbull Featuring Christina Aguilera ,Feel This Moment
Zedd Featuring Foxes ,Clarity
Ylvis ,The Fox
LilWayneFeaturing Drake & Future ,Love Me
Icona Pop Featuring Charli XCX ,I Love It
Capital Cities ,Safe And Sound
OneRepublic ,Counting Stars
Demi Lovato ,Heart Attack
Ariana Grande Featuring Mac Miller ,The Way
Maroon 5 ,Love Somebody
Lana Del Rey & Cedric Gervais ,Summertime Sadness
Macklemore & Ryan Lewis FeatMary Lambert ,Same Love
"Mike WiLL Made-It FeaturingMiley Cyrus, Wiz Khalifa & Juicy J",
PSY ,Gentleman
Passenger ,Let Her Go
Blake Shelton FeatPistolAnnies& Friends ,Boys ‘Round Here
Fall Out Boy , Light Em Up
2 Chainz & Wiz Khalifa ,We Own It (Fast & Furious)
Luke Bryan ,That’s My Kind Of Night
Eminem ,Survival
will.i.am Featuring Justin Bieber ,#thatPOWER
CalvinHarris Featuring Ellie Goulding ,I Need Your Love
Mariah Carey Featuring Miguel ,#Beautiful
Eminem ,Rap God
Darius Rucker ,Wagon Wheel
Luke Bryan , Crash My Party
Jason Derulo ,The Other Side
One Direction ,Best Song Ever
Rihanna ,Pour It Up
fun. ,Carry On
Miranda Lambert ,Mama’s Broken Heart
J. Cole Featuring Miguel ,Power Trip
Taylor Swift ,22
Rocko Featuring Future & Rick Ross ,U.O.E.N.O.
Drake Featuring 2 Chainz & Big Sean ,All Me
Pitbull Featuring Ke$ha ,Timber
Tim McGraw With Taylor Swift ,Highway Don’t Care
HunterHayes ,I Want Crazy
YG Featuring Jeezy & Rich Homie Quan ,My Hitta
ChrisBrownFeaturing Nicki Minaj ,Love More
Paramore ,Still Into You
Blake Shelton ,Sure Be Cool If You Did
Olly Murs Featuring Flo Rida ,Troublemaker
Phillip Phillips ,"Gone, Gone, Gone"
Thomas Rhett ,It Goes Like This
Robin Thicke Featuring Kendrick Lamar ,Give It 2 U
Katy Perry ,Unconditionally
Emeli Sande ,Next To Me
Ke$ha ,C’Mon
Wale Featuring Tiara Thomas ,Bad
Ciara ,Body Party
J. Cole Featuring TLC ,Crooked Smile
Randy Houser ,Runnin’ Outta Moonlight
Wale Featuring Tiara Thomas Or Rihanna ,Bad
Bruno Mars,Gorilla
Florida Georgia Line ,Get Your Shine On
Lady Antebellum ,Downtown
Justin Timberlake ,Take Back The Night
Avril Lavigne ,Here’s To Never Growing Up
Brett Eldredge ,Don’t Ya
Florida Georgia Line ,Round Here
Selena Gomez ,Slow Down
Sage The Gemini Featuring IamSu ,Gas Pedal
Lady Gaga ,Venus
Kendrick Lamar ,"Bitch, Don’t Kill My Vibe"
AceHood Featuring Future & Rick Ross , Bugatti
The Neighbourhood ,Sweater Weather
Tyler Farr ,Redneck Crazy
Krewella ,Alive
Sara Bareilles ,Brave
The FiNATTiCZ ,Don’t Drop That Thun Thun!
Justin Timberlake ,TKO
